K_values,Eigenvalues
0.1,1.0348022438933012e-11 - 4.244406174123287im
0.1,1.0606724387685116e-11 - 4.2444175474671635im
0.1,3.104405621456879e-12 - 4.244413501378148im
0.1,1.2417632847909078e-11 - 4.244417056366802im
0.1,1.5522041985072202e-11 - 4.244416925031692im
0.1,2.069605598009627e-11 - 4.244415238052606im
0.1,9.55202583696751e-12 - 4.244414921907278im
0.1,1.6556849224969115e-11 - 4.244415728747845im
0.1,1.0348027990048134e-11 - 4.2444151693955074im
0.1,8.278422392038508e-12 - 4.244413518011569im
0.1,4.434862001444042e-12 - 4.244417035180542im
0.1,7.391443013204973e-12 - 4.244416911447687im
0.1,1.0348024024965904e-11 - 4.244416897238366im
0.1,1.2976099559937603e-11 - 4.244416523461659im
0.1,1.5768424661238132e-11 - 4.24441643896557im
0.1,1.746229688626153e-11 - 4.244416125642602im
0.1,1.7739476554368232e-11 - 4.244416099361011im
0.1,2.4835267176115525e-11 - 4.244413487911223im
0.1,1.37973669526541e-11 - 4.244413721685609im
0.1,2.3652635405824308e-11 - 4.244416332244873im
0.1,1.3797370653397513e-11 - 4.244415083527566im
0.1,2.3652635405824308e-11 - 4.244415193051101im
0.1,1.1826317702912154e-11 - 4.244409366697073im
0.1,1.6556844784077015e-11 - 4.24441375464201im
0.1,7.391446185270758e-12 - 4.244409170986286im
0.1,1.264758668166154e-11 - 4.244416291784081im
0.1,1.0348027990048134e-11 - 4.244416279532015im
0.1,2.069605598009627e-11 - 4.244417440332474im
0.1,3.794273784052413e-12 - 4.244416546666374im
0.1,1.2935033599781387e-11 - 4.244413775391876im
0.1,1.6556844784077015e-11 - 4.244415274560451im
0.1,1.3797370653397513e-11 - 4.244415094744828im
0.1,5.820763315789209e-12 - 4.244413654750679im
0.1,2.0696061531211394e-11 - 2.061426320361596im
0.1,4.139212306242279e-11 - 1.3641265221560994im
0.1,2.069605598009627e-11 - 0.6785829359665485im
0.1,7.525832482454873e-12 - 4.244413495876571im
0.1,9.942222208912798e-12 - 4.244413471327839im
0.1,1.3797370653397513e-11 - 4.244415080112717im
0.1,1.1288753770150601e-11 - 4.244413632899523im
0.1,1.0348027990048134e-11 - 4.244416149239987im
0.1,1.0348027990048134e-11 - 4.244415747746825im
0.1,8.623353882815884e-12 - 4.244415805085251im
0.1,6.46750986099679e-12 - 4.244416286214255im
0.1,2.4835267176115525e-11 - 4.2444173157215115im
0.1,1.6556844784077015e-11 - 4.244416168630122im
0.1,1.182631611687926e-11 - 4.244416140711733im
0.1,8.04846066336676e-12 - 4.244413677292564im
0.1,1.839649173736774e-11 - 4.244413662619061im
0.1,5.820760540231648e-12 - 4.244415948621463im
0.1,1.0348027990048134e-11 - 4.244413622841239im
0.1,2.069605598009627e-11 - 4.244415205158294im
0.1,5.174005668351383e-12 - 4.244414934981614im
0.1,1.0348027990048134e-11 - 4.244414902850986im
0.1,2.069605598009627e-11 - 4.244415266253053im
0.1,2.069605598009627e-11 - 4.244415200687945im
0.1,1.6863456310368885e-11 - 4.244416492239193im
0.1,1.0348027990048134e-11 - 4.2444163586944335im
0.1,1.552204689567404e-11 - 4.244416858081539im
0.1,1.0348027990048134e-11 - 4.244416173920035im
0.1,2.069605598009627e-11 - 4.244417328573764im
0.1,1.6556840343184916e-11 - 4.244417535215616im
0.1,4.139204534681106e-12 - 4.24441687040031im
0.1,7.588556449889022e-12 - 4.2444164634744315im
0.1,4.139206755127155e-12 - 4.244416875988246im
0.1,2.5870028341756914e-12 - 4.244415127253161im
0.1,2.069602267340553e-12 - 4.244415058977903im
0.1,3.880512577936221e-12 - 4.244416429754346im
0.1,5.174005668351383e-12 - 4.244413729663939im
0.1,8.048458196204484e-12 - 4.24441565318654im
0.1,2.5870028341756914e-12 - 4.24441570448689im
0.1,2.5870028341756914e-12 - 4.244415808608755im
0.1,1.7739473382302446e-11 - 4.244416135230234im
0.1,3.880504251263537e-12 - 4.2444158479804175im
0.1,5.174005668351383e-12 - 4.244415033701808im
0.1,2.5870028341756914e-12 - 4.2444158348720515im
0.1,6.208811242913758e-12 - 4.244417343176903im
0.1,1.5133991837501604e-11 - 4.244415887939589im
0.1,1.7246759576039583e-12 - 4.244416500193378im
0.1,4.139213416465303e-12 - 4.24441345795989im
0.1,1.7246759576039583e-12 - 4.244413427573939im
0.1,1.200370913778676e-11 - 4.24441593862325im
0.2,2.0696061531211394e-11 - 1.3656171792497227im
0.2,2.069605598009627e-11 - 4.245729613583538im
0.2,1.7043810807138103e-11 - 4.245729840503022im
0.2,6.622738801809227e-11 - 4.245729047060014im
0.2,1.3245476271350823e-10 - 4.245728754997257im
0.2,6.622738357720016e-11 - 4.245730251073839im
0.2,1.8814596345542062e-11 - 4.245728191597899im
0.2,1.3797370653397513e-11 - 4.245727702147433im
0.2,1.0348027990048134e-11 - 4.245727750379594im
0.2,2.4835267176115525e-11 - 4.245729780048134im
0.2,2.069605598009627e-11 - 4.245729794974131im
0.2,1.6556844784077015e-11 - 4.2457296503707775im
0.2,1.5920043061612513e-11 - 4.245727634716495im
0.2,6.208811242913758e-12 - 4.2457280488684805im
0.2,1.0348027990048134e-11 - 4.24572774609551im
0.2,1.0348027990048134e-11 - 4.245729645527901im
0.2,1.2417633588057762e-11 - 4.245729835033419im
0.2,1.5522041985072202e-11 - 4.245727705676111im
0.2,1.8396494204530017e-11 - 4.245727808442384im
0.2,2.069605598009627e-11 - 4.245728064949317im
0.2,1.6556844784077015e-11 - 4.245731039494279im
0.2,1.4947144756484377e-11 - 4.24572966489941im
0.2,6.467515412111913e-12 - 4.24572962515522im
0.2,1.6556844784077015e-11 - 4.245731034278873im
0.2,8.278422392038508e-12 - 4.245729831606152im
0.2,8.192194145273433e-12 - 4.245731404485804im
0.2,1.7739476554368232e-11 - 4.245731093095884im
0.2,1.4487239186067389e-11 - 4.245727866254748im
0.2,2.069605598009627e-11 - 4.245728142683707im
0.2,2.4835267176115525e-11 - 4.245727561265232im
0.2,7.243614597030084e-12 - 4.24572834338993im
0.2,1.2736031033219165e-11 - 4.245728254719425im
0.2,1.0348027990048134e-11 - 3.4991829591803256im
0.2,1.8814596345542062e-11 - 4.245727661929348im
0.2,1.164152940713598e-11 - 4.245729185990059im
0.2,2.4835267176115525e-11 - 4.245727792382244im
0.2,1.6556844784077015e-11 - 4.245729607045653im
0.2,1.2229482073487218e-11 - 4.245732118917462im
0.2,1.2417631367611713e-11 - 4.245731773450972im
0.2,1.0348027990048134e-11 - 4.2457281849036645im
0.2,1.0587571149019254e-11 - 4.245728874836051im
0.2,1.0348027990048134e-11 - 4.245727765001359im
0.2,1.0348027990048134e-11 - 3.49918297175318im
0.2,2.069605598009627e-11 - 0.6801615590229639im
0.2,4.139212306242279e-11 - 2.7736183439070974im
0.2,1.0348027990048134e-11 - 4.245727569796147im
0.2,8.278422392038508e-12 - 4.245727718621494im
0.2,1.6556844784077015e-11 - 4.24572768673301im
0.2,1.2647582980918128e-11 - 4.24572836502145im
0.2,2.069605598009627e-11 - 4.245731259323659im
0.2,1.6556844784077015e-11 - 4.24573111623526im
0.2,1.084079492841289e-11 - 4.245731442013669im
0.2,9.709263023201756e-12 - 4.245731537338394im
0.2,1.0348027990048134e-11 - 3.499182954058051im
0.2,6.898679158793064e-12 - 4.245729852178033im
0.2,4.139208975573205e-12 - 4.245727779045703im
0.2,6.8986853266987564e-12 - 4.245729196816684im
0.2,5.174005668351383e-12 - 4.245729806181045im
0.2,6.208809022467709e-12 - 4.245728268362585im
0.2,1.1382821352157237e-11 - 4.245729865860195im
0.2,6.898681625955341e-12 - 4.245728907287123im
0.2,1.0348022438933012e-11 - 4.245729641988875im
0.2,8.27841795114641e-12 - 4.2457283385098im
0.2,5.174011219466506e-12 - 2.062869327049702im
0.2,1.0348027990048134e-11 - 4.245727680251004im
0.2,5.748897654219369e-12 - 4.245727577826216im
0.2,2.069605598009627e-11 - 4.245721421577038im
0.2,3.449337112234255e-12 - 4.245726511813701im
0.2,1.2935039706008023e-11 - 4.245729736080394im
0.2,1.0348027990048134e-11 - 4.245729764923455im
0.2,5.174009665154271e-12 - 4.245727927800271im
0.2,1.0348027990048134e-11 - 4.24572820775211im
0.2,2.069605598009627e-11 - 4.2457309866324096im
0.2,6.208811242913758e-12 - 4.24573192778975im
0.2,4.5991186168079505e-12 - 4.2457319750554054im
0.2,4.434862001444042e-12 - 4.245731890228181im
0.2,5.174005668351383e-12 - 4.24573188700403im
0.2,5.748897654219369e-12 - 4.245730908028785im
0.2,4.484148607986095e-12 - 4.245731426229081im
0.2,2.069602267340553e-12 - 4.245731749348344im
0.2,4.139208975573205e-12 - 4.24573123969138im
0.2,2.5870028341756914e-12 - 4.245732033578681im
0.2,5.420390062719613e-12 - 4.245731917706631im
0.2,8.795828509988769e-12 - 4.2457297551538815im
0.2,5.174005668351383e-12 - 4.245726767834277im
0.2,2.5870028341756914e-12 - 4.245728081045676im
0.2,1.1826311358780583e-11 - 4.245731251580379im
0.2,6.898692728185587e-12 - 4.245731355870765im
0.2,5.174005668351383e-12 - 4.245730928424749im
0.2,6.208811242913758e-12 - 4.245732014216484im
0.2,8.278422392038508e-12 - 4.245731340348723im
0.2,5.1740084439089445e-12 - 4.245726697115849im
0.2,5.174005668351383e-12 - 4.245731318462641im
0.2,3.6341279192291753e-12 - 4.245731736086531im
0.2,1.6384379038688326e-11 - 4.245728039819128im
0.2,6.898677925211926e-12 - 4.2457264102995405im
0.2,5.174005668351383e-12 - 4.245732153579594im
0.2,5.174005668351383e-12 - 4.245728160906586im
0.2,6.208806802021659e-12 - 4.245726398937405im
0.2,5.174005668351383e-12 - 4.245726822596045im
0.2,4.139208975573204e-12 - 4.245727545693519im
0.2,5.174005668351383e-12 - 4.245731552876534im
0.2,5.1740078887974325e-12 - 4.245726694408805im
